,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-09-16,186.80831892440236,-1753.9032603811513,2137.9483164685034,186.80831892440236,186.80831892440236,-75.60918886353473,-75.60918886353473,-75.60918886353473,-5.129101086962621,-5.129101086962621,-5.129101086962621,-70.4800877765721,-70.4800877765721,-70.4800877765721,0.0,0.0,0.0,111.19913006086763
1,2014-09-17,187.2187710430298,-1843.3077946752696,2094.062362159321,187.2187710430298,187.2187710430298,-84.01859588064637,-84.01859588064637,-84.01859588064637,-1.9526767922935406,-1.9526767922935406,-1.9526767922935406,-82.06591908835283,-82.06591908835283,-82.06591908835283,0.0,0.0,0.0,103.20017516238342
2,2014-09-18,187.62922316165725,-1828.492868287303,2014.522926217407,187.62922316165725,187.62922316165725,-95.54917670822171,-95.54917670822171,-95.54917670822171,-2.166841416606007,-2.166841416606007,-2.166841416606007,-93.3823352916157,-93.3823352916157,-93.3823352916157,0.0,0.0,0.0,92.08004645343554
3,2014-09-19,188.03967528028468,-1801.6112854190567,1999.2850230932218,188.03967528028465,188.03967528028465,-92.29815194853705,-92.29815194853705,-92.29815194853705,12.319763637881573,12.319763637881573,12.319763637881573,-104.61791558641862,-104.61791558641862,-104.61791558641862,0.0,0.0,0.0,95.74152333174763
4,2014-09-20,188.45012739891212,-1742.8752008385402,2055.1474752714835,188.45012739891212,188.45012739891212,-104.10711503440191,-104.10711503440191,-104.10711503440191,11.842181351985698,11.842181351985698,11.842181351985698,-115.94929638638763,-115.94929638638763,-115.94929638638763,0.0,0.0,0.0,84.3430123645102
5,2014-09-21,188.86057951753958,-1919.0529170406776,1961.2376196118012,188.86057951753958,188.86057951753958,-125.68171496871804,-125.68171496871804,-125.68171496871804,1.851031118169368,1.851031118169368,1.851031118169368,-127.5327460868874,-127.5327460868874,-127.5327460868874,0.0,0.0,0.0,63.17886454882154
6,2014-09-22,189.27103163616704,-1791.1940003835407,1983.7553384633648,189.27103163616704,189.27103163616704,-156.26046940159625,-156.26046940159625,-156.26046940159625,-16.76435681213751,-16.76435681213751,-16.76435681213751,-139.49611258945876,-139.49611258945876,-139.49611258945876,0.0,0.0,0.0,33.010562234570784
7,2014-09-23,189.68148375479447,-1853.872409468363,1809.5997922289446,189.68148375479447,189.68148375479447,-157.06051959579767,-157.06051959579767,-157.06051959579767,-5.129101086939059,-5.129101086939059,-5.129101086939059,-151.9314185088586,-151.9314185088586,-151.9314185088586,0.0,0.0,0.0,32.6209641589968
8,2014-09-24,190.0919358734219,-1813.289238664884,1966.679325259468,190.0919358734219,190.0919358734219,-166.8410450438138,-166.8410450438138,-166.8410450438138,-1.952676792312362,-1.952676792312362,-1.952676792312362,-164.88836825150145,-164.88836825150145,-164.88836825150145,0.0,0.0,0.0,23.250890829608096
9,2014-09-25,190.5023879920494,-1933.2000740144986,2035.5671770429406,190.5023879920494,190.5023879920494,-180.5358532239832,-180.5358532239832,-180.5358532239832,-2.1668414166075145,-2.1668414166075145,-2.1668414166075145,-178.36901180737567,-178.36901180737567,-178.36901180737567,0.0,0.0,0.0,9.966534768066197
10,2014-09-26,190.91284011067683,-1864.8589175051945,1883.4140648833043,190.91284011067683,190.91284011067683,-180.00401884278034,-180.00401884278034,-180.00401884278034,12.319763637868322,12.319763637868322,12.319763637868322,-192.32378248064865,-192.32378248064865,-192.32378248064865,0.0,0.0,0.0,10.908821267896485
11,2014-09-27,191.32329222930426,-1786.8192266695596,2029.1288823428335,191.32329222930426,191.32329222930426,-194.80690918873657,-194.80690918873657,-194.80690918873657,11.842181351978894,11.842181351978894,11.842181351978894,-206.64909054071546,-206.64909054071546,-206.64909054071546,0.0,0.0,0.0,-3.483616959432311
12,2014-09-28,191.7337443479317,-1961.826206888567,1811.8607751316817,191.7337443479317,191.7337443479317,-219.33558162823053,-219.33558162823053,-219.33558162823053,1.851031118150548,1.851031118150548,1.851031118150548,-221.1866127463811,-221.1866127463811,-221.1866127463811,0.0,0.0,0.0,-27.601837280298838
13,2014-09-29,192.14419646655918,-1856.8630482762705,1771.9422043329091,192.14419646655918,192.14419646655918,-252.4887268308555,-252.4887268308555,-252.4887268308555,-16.76435681214852,-16.76435681214852,-16.76435681214852,-235.724370018707,-235.724370018707,-235.724370018707,0.0,0.0,0.0,-60.34453036429633
14,2014-09-30,192.5546485851866,-2078.526910127019,1883.6611792846365,192.5546485851866,192.5546485851866,-255.12873456954384,-255.12873456954384,-255.12873456954384,-5.129101086957211,-5.129101086957211,-5.129101086957211,-249.99963348258663,-249.99963348258663,-249.99963348258663,0.0,0.0,0.0,-62.574085984357225
15,2014-10-01,192.96510070381404,-1990.7965929534405,1905.7229934912275,192.96510070381407,192.96510070381407,-265.6563209555785,-265.6563209555785,-265.6563209555785,-1.9526767923311419,-1.9526767923311419,-1.9526767923311419,-263.70364416324736,-263.70364416324736,-263.70364416324736,0.0,0.0,0.0,-72.69122025176446
16,2014-10-02,193.37555282244153,-2010.84866439904,1843.338850014853,193.37555282244153,193.37555282244153,-278.6549168093316,-278.6549168093316,-278.6549168093316,-2.1668414166192997,-2.1668414166192997,-2.1668414166192997,-276.4880753927123,-276.4880753927123,-276.4880753927123,0.0,0.0,0.0,-85.27936398689008
17,2014-10-03,193.78600494106897,-2005.6691831333026,1912.9460415873077,193.78600494106897,193.78600494106897,-275.6533474971169,-275.6533474971169,-275.6533474971169,12.319763637882001,12.319763637882001,12.319763637882001,-287.9731111349989,-287.9731111349989,-287.9731111349989,0.0,0.0,0.0,-81.86734255604793
18,2014-10-04,194.1964570596964,-2001.0779766377336,1881.1061051048464,194.1964570596964,194.1964570596964,-285.91477833389246,-285.91477833389246,-285.91477833389246,11.842181351972094,11.842181351972094,11.842181351972094,-297.75695968586456,-297.75695968586456,-297.75695968586456,0.0,0.0,0.0,-91.71832127419606
19,2014-10-05,194.6069091783239,-2164.498764456607,1905.5837739774636,194.6069091783239,194.6069091783239,-303.5755411052112,-303.5755411052112,-303.5755411052112,1.8510311181377124,1.8510311181377124,1.8510311181377124,-305.4265722233489,-305.4265722233489,-305.4265722233489,0.0,0.0,0.0,-108.9686319268873
